Datetime,Open,High,Low,Close,Adj Close,Volume
2024-06-07 05:45:00,71296.9296875,71310.5859375,71289.484375,71289.484375,71289.484375,0
2024-06-07 06:00:00,71289.6953125,71334.2890625,71253.7890625,71256.2890625,71256.2890625,11726848
2024-06-07 06:15:00,71233.234375,71254.6875,71223.8671875,71223.8671875,71223.8671875,0
2024-06-07 06:30:00,71228.4140625,71289.84375,71205.4921875,71205.4921875,71205.4921875,5865472
2024-06-07 06:45:00,71195.1171875,71285.078125,71187.1484375,71235.7265625,71235.7265625,82423808
2024-06-07 07:00:00,71248.1640625,71248.1640625,71164.1328125,71170.65625,71170.65625,42579968
2024-06-07 07:15:00,71175.59375,71272.5078125,71175.59375,71219.3203125,71219.3203125,72353792
2024-06-07 07:30:00,71237.9453125,71237.9453125,71080.5390625,71080.5390625,71080.5390625,96874496
2024-06-07 07:45:00,71088.4453125,71095.5078125,71048.1015625,71091.015625,71091.015625,97331200
2024-06-07 08:00:00,71075.8125,71086.5625,71022.671875,71027.09375,71027.09375,23060480
2024-06-07 08:15:00,71041.9921875,71149.046875,71036.0859375,71149.046875,71149.046875,89743360
2024-06-07 08:30:00,71127.5,71127.5,71062.7421875,71070.671875,71070.671875,93847552
2024-06-07 08:45:00,71079.6875,71087.96875,71054.5078125,71055.6171875,71055.6171875,48986112
2024-06-07 09:00:00,71062.8125,71070.4921875,71021.828125,71070.4921875,71070.4921875,2871296
2024-06-07 09:15:00,71069.6796875,71124.0625,71061.0625,71124.0625,71124.0625,24494080
2024-06-07 09:30:00,71165.28125,71181.8984375,71127.46875,71162.75,71162.75,130957312
2024-06-07 09:45:00,71166.7265625,71240.8125,71150.0234375,71240.8125,71240.8125,62425088
2024-06-07 10:00:00,71259.6015625,71321.28125,71237.7890625,71312.7578125,71312.7578125,73353216
2024-06-07 10:15:00,71309.4296875,71309.4296875,71230.1796875,71237.453125,71237.453125,54138880
2024-06-07 10:30:00,71231.4296875,71284.921875,71178.609375,71279.7265625,71279.7265625,39047168
2024-06-07 10:45:00,71285.34375,71372.3046875,71271.8984375,71336.8359375,71336.8359375,35829760
2024-06-07 11:00:00,71330.7421875,71358.234375,71307.9296875,71307.9296875,71307.9296875,1605632
2024-06-07 11:15:00,71307.1796875,71367.1328125,71290.3359375,71358.3046875,71358.3046875,92637184
2024-06-07 11:30:00,71360.609375,71571.8984375,71360.609375,71486.7421875,71486.7421875,317759488
2024-06-07 11:45:00,71489.4765625,71646.515625,71489.4765625,71627.796875,71627.796875,197351424
