Datetime,Open,High,Low,Close,Adj Close,Volume
2024-06-07 05:45:00,3821.762451171875,3821.762451171875,3818.267578125,3818.267578125,3818.267578125,0
2024-06-07 06:00:00,3818.15087890625,3819.831298828125,3815.2890625,3815.665283203125,3815.665283203125,0
2024-06-07 06:15:00,3815.091064453125,3815.896484375,3814.49951171875,3815.43505859375,3815.43505859375,0
2024-06-07 06:30:00,3815.315673828125,3816.01708984375,3813.715576171875,3814.01708984375,3814.01708984375,0
2024-06-07 06:45:00,3814.311279296875,3816.002685546875,3813.75927734375,3815.0556640625,3815.0556640625,0
2024-06-07 07:00:00,3815.62646484375,3816.83154296875,3814.105224609375,3816.83154296875,3816.83154296875,6586368
2024-06-07 07:15:00,3817.300048828125,3823.0185546875,3817.300048828125,3818.73388671875,3818.73388671875,32926720
2024-06-07 07:30:00,3819.02587890625,3819.215087890625,3815.17138671875,3815.17138671875,3815.17138671875,7613440
2024-06-07 07:45:00,3816.02978515625,3816.3974609375,3813.727783203125,3815.423583984375,3815.423583984375,15897600
2024-06-07 08:00:00,3814.57763671875,3814.8916015625,3809.17529296875,3809.17529296875,3809.17529296875,7634944
2024-06-07 08:15:00,3809.360107421875,3812.94970703125,3807.18701171875,3812.94970703125,3812.94970703125,20645888
2024-06-07 08:30:00,3812.3857421875,3812.71484375,3809.013427734375,3809.386474609375,3809.386474609375,6371328
2024-06-07 08:45:00,3810.404296875,3811.049560546875,3808.9228515625,3809.26318359375,3809.26318359375,12034048
2024-06-07 09:00:00,3809.131103515625,3810.31494140625,3805.742919921875,3808.042724609375,3808.042724609375,3453952
2024-06-07 09:15:00,3808.361572265625,3809.25439453125,3805.774658203125,3809.25439453125,3809.25439453125,15813632
2024-06-07 09:30:00,3811.205078125,3811.314697265625,3807.89013671875,3810.427001953125,3810.427001953125,11570176
2024-06-07 09:45:00,3810.9013671875,3810.9013671875,3806.67822265625,3808.610595703125,3808.610595703125,0
2024-06-07 10:00:00,3809.708251953125,3810.507080078125,3807.560791015625,3810.507080078125,3810.507080078125,24349696
2024-06-07 10:15:00,3809.99951171875,3810.124755859375,3805.8369140625,3805.84130859375,3805.84130859375,0
2024-06-07 10:30:00,3805.42236328125,3806.37890625,3800.181884765625,3806.072509765625,3806.072509765625,30735360
2024-06-07 10:45:00,3807.0693359375,3811.037109375,3805.886962890625,3808.03466796875,3808.03466796875,6412288
2024-06-07 11:00:00,3808.15673828125,3810.85986328125,3807.439453125,3807.439453125,3807.439453125,3183616
2024-06-07 11:15:00,3807.05029296875,3813.314697265625,3806.488525390625,3811.015380859375,3811.015380859375,28044288
2024-06-07 11:30:00,3810.1767578125,3823.5146484375,3809.55908203125,3822.358642578125,3822.358642578125,84284416
2024-06-07 11:45:00,3822.283447265625,3837.443603515625,3822.283447265625,3831.64599609375,3831.64599609375,124274688
2024-06-07 12:00:00,3831.62158203125,3838.4521484375,3827.10009765625,3831.4951171875,3831.4951171875,87071744
2024-06-07 12:15:00,3832.3134765625,3836.700439453125,3821.999267578125,3830.12255859375,3830.12255859375,68455424
2024-06-07 12:30:00,3834.92919921875,3834.92919921875,3775.682373046875,3784.45263671875,3784.45263671875,719199232
